split,method,seed,goal_success,success_auc,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,abstain_rate,total_cost,half_life_error,calibration_error,rows
friction_shift,scalar_uncertainty_gate,3,0.70139,0.70035,0.69444,0.01389,0.00000,0.08333,0.00000,0.00000,1.03347,0.12877,0.38197,288
friction_shift,scalar_uncertainty_gate,4,0.72569,0.72474,0.69444,0.01389,0.00000,0.08681,0.00000,0.00000,1.03437,0.13030,0.35544,288
friction_shift,scalar_uncertainty_gate,5,0.71875,0.71777,0.69444,0.01736,0.00000,0.08333,0.00000,0.00000,1.03642,0.12697,0.36669,288
friction_shift,scalar_uncertainty_gate,6,0.72569,0.72474,0.76389,0.00694,0.00000,0.08333,0.00000,0.00000,1.02757,0.12704,0.36266,288
friction_shift,conformal_risk_gate,0,0.80556,0.80488,0.84722,0.00000,0.00000,0.15625,0.39583,0.00000,1.06833,0.07180,0.30954,288
friction_shift,conformal_risk_gate,1,0.81597,0.81707,0.75000,0.00694,0.00000,0.15972,0.37500,0.00000,1.07368,0.07390,0.30734,288
friction_shift,conformal_risk_gate,2,0.79514,0.79443,0.79167,0.00347,0.00000,0.15278,0.39931,0.00000,1.07063,0.06926,0.31656,288
friction_shift,conformal_risk_gate,3,0.79167,0.79268,0.76389,0.00347,0.00000,0.14931,0.40278,0.00000,1.06997,0.07551,0.32137,288
friction_shift,conformal_risk_gate,4,0.82292,0.82404,0.76389,0.00347,0.00000,0.15625,0.39583,0.00000,1.07128,0.07499,0.30085,288
friction_shift,conformal_risk_gate,5,0.77083,0.77003,0.79167,0.00000,0.00000,0.15625,0.39236,0.00000,1.06809,0.07218,0.33110,288
friction_shift,conformal_risk_gate,6,0.79167,0.79094,0.75000,0.00347,0.00000,0.15625,0.38542,0.00000,1.07056,0.07462,0.31919,288
friction_shift,skill_half_life_scheduler,0,0.81250,0.81185,0.80556,0.00347,0.00000,0.13542,0.49653,0.00000,1.07292,0.21713,0.29923,288
friction_shift,skill_half_life_scheduler,1,0.77431,0.77352,0.75000,0.00694,0.00000,0.12153,0.52431,0.00000,1.07420,0.22676,0.32143,288
friction_shift,skill_half_life_scheduler,2,0.84375,0.84495,0.80556,0.00000,0.00000,0.12500,0.50694,0.00000,1.06799,0.22339,0.27753,288
friction_shift,skill_half_life_scheduler,3,0.80208,0.80139,0.76389,0.00000,0.00000,0.12153,0.51389,0.00000,1.06757,0.22831,0.30616,288
friction_shift,skill_half_life_scheduler,4,0.74653,0.74564,0.73611,0.00694,0.00000,0.12153,0.51736,0.00000,1.07372,0.22287,0.34291,288
friction_shift,skill_half_life_scheduler,5,0.81250,0.81185,0.84722,0.00694,0.00000,0.12847,0.51042,0.00000,1.07503,0.21590,0.29673,288
friction_shift,skill_half_life_scheduler,6,0.79514,0.79443,0.69444,0.00000,0.00000,0.12500,0.51042,0.00000,1.06823,0.21170,0.30885,288
friction_shift,oracle_shift_aware_scheduler,0,0.87153,0.87108,0.90278,0.00000,0.00000,0.16667,0.47569,0.00000,1.07663,0.00000,0.25267,288
friction_shift,oracle_shift_aware_scheduler,1,0.80208,0.80139,0.79167,0.00000,0.00000,0.17014,0.47222,0.00000,1.07729,0.00000,0.30199,288
friction_shift,oracle_shift_aware_scheduler,2,0.87500,0.87456,0.91667,0.00000,0.00000,0.16319,0.48611,0.00000,1.07646,0.00000,0.25486,288
friction_shift,oracle_shift_aware_scheduler,3,0.83333,0.83275,0.80556,0.00347,0.00000,0.16667,0.48264,0.00000,1.08007,0.00000,0.27835,288
friction_shift,oracle_shift_aware_scheduler,4,0.85764,0.85889,0.84722,0.00000,0.00000,0.16667,0.48958,0.00000,1.07760,0.00000,0.26889,288
friction_shift,oracle_shift_aware_scheduler,5,0.84028,0.83972,0.84722,0.00000,0.00000,0.16667,0.49653,0.00000,1.07809,0.00000,0.27717,288
friction_shift,oracle_shift_aware_scheduler,6,0.84028,0.83972,0.80556,0.00000,0.00000,0.16667,0.48264,0.00000,1.07712,0.00000,0.27353,288
nominal_slow_drift,frozen_behavior_clone,0,0.41319,0.41289,0.25000,0.19792,0.69097,0.00000,0.00000,0.00000,1.16823,0.39183,0.43871,288
nominal_slow_drift,frozen_behavior_clone,1,0.45139,0.45122,0.30556,0.16667,0.71528,0.00000,0.00000,0.00000,1.14167,0.37947,0.43462,288
nominal_slow_drift,frozen_behavior_clone,2,0.38542,0.38502,0.23611,0.22569,0.70833,0.00000,0.00000,0.00000,1.19184,0.38916,0.44925,288
nominal_slow_drift,frozen_behavior_clone,3,0.41667,0.41638,0.20833,0.21528,0.69792,0.00000,0.00000,0.00000,1.18299,0.38901,0.43131,288
nominal_slow_drift,frozen_behavior_clone,4,0.42014,0.41986,0.15278,0.23611,0.67708,0.00000,0.00000,0.00000,1.20069,0.38147,0.40980,288
nominal_slow_drift,frozen_behavior_clone,5,0.45139,0.45122,0.22222,0.22917,0.66319,0.00000,0.00000,0.00000,1.19479,0.38462,0.42508,288
nominal_slow_drift,frozen_behavior_clone,6,0.45833,0.45819,0.22222,0.22917,0.67708,0.00000,0.00000,0.00000,1.19479,0.38174,0.42058,288
nominal_slow_drift,domain_randomized_clone,0,0.51389,0.51394,0.37500,0.15625,0.69097,0.00000,0.00000,0.00000,1.13281,0.35685,0.42985,288
