split,skill,seed,step,method,goal_success,unsafe_failure,stale_execution,refresh,probe,abstain,coverage,false_safe,total_cost,predicted_success,calibration_abs_error,true_success_probability,risk_upper,hazard_score,estimated_half_life,true_half_life,half_life_abs_relative_error,shift_norm,observed_norm,mode_signal,exec_age,failure_label,risk_budget
combined_micro_shift,pick_place,0,25,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.34715,0.34715,0.38255,0.58273,0.74042,12.84838,14.39209,0.10726,0.46148,0.54331,0.08795,25.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,26,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.38603,0.38603,0.35885,0.53153,0.69454,15.19617,13.84295,0.09776,0.49667,0.41724,0.04976,26.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,27,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.39360,0.39360,0.35195,0.52256,0.68401,16.24499,13.99573,0.16071,0.48660,0.44993,0.00000,27.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,28,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.35571,0.35571,0.32847,0.56720,0.73056,14.79963,13.41949,0.10285,0.52577,0.52145,0.05021,28.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,29,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.36207,0.36207,0.31182,0.54864,0.72548,15.54944,13.11579,0.18555,0.54780,0.44387,0.03341,29.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,30,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.27911,0.27911,0.29266,0.62739,0.82910,11.77022,12.68822,0.07235,0.58060,0.60110,0.03402,30.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,31,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.28211,0.28211,0.27631,0.63434,0.82268,12.42202,12.35636,0.00531,0.60762,0.66314,0.03331,31.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,32,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.28162,0.28162,0.27058,0.61006,0.82895,12.56112,12.44242,0.00954,0.60047,0.53482,0.00000,32.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,33,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.27020,0.27020,0.24822,0.64863,0.83681,12.61756,11.81645,0.06780,0.65482,0.70349,0.03556,33.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,34,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.26057,0.26057,0.24351,0.64305,0.85171,12.34785,11.90378,0.03730,0.64690,0.66370,0.00000,34.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,35,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.26285,0.26285,0.22381,0.64159,0.84867,12.84753,11.33921,0.13302,0.70029,0.66418,0.00000,35.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,36,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.19112,0.19112,0.15143,0.77265,0.92713,9.52752,9.63708,0.01137,0.85790,1.00476,0.18948,36.00000,abstained_fixed_risk,0.02
